seller_id,uf,tot_orders,tot_items,tot_items_dist,receita,recencia,churn
1746c1ae87ac63d530c7c943d0ac42e2,SP,1,1,1,229.9,50,1
1771297ac436903d1dd6b0e9279aa505,SP,21,25,8,2449.5399999999995,2,0
1782ce2db72c3dda627d5e7c898104e1,SP,6,7,6,1362.8,43,0
17908cf9b444ee34047cadd5c0f4a516,GO,4,4,4,909.99,22,0
17998cf586426bf0f2c3726cb0a4b211,MG,2,2,2,69.8,28,1
17a053fcb14bd219540cbde0df490be0,SP,43,52,35,13884.359999999988,0,0
17ca9b9e9b9ef8fdb529001b49ebb50f,MG,53,62,22,4217.139999999996,0,0
17e34d8224d27a541263c4c64b11a56b,SP,177,184,87,35152.02999999998,0,0
17eea220a40cc0d2c0c5346379682398,SP,3,3,2,875.98,123,1
17f51e7198701186712e53a39c564617,SP,42,46,23,36509.0,14,0
180c3376aff0e43dd5788709df48a843,SP,5,10,3,4513.0,27,1
1835b56ce799e6a4dc4eddc053f04066,SP,184,235,89,13310.589999999966,0,0
1838dd9b8977065acf51d95e0053ea7a,MG,27,27,10,1204.3000000000002,0,0
184a67a8f9f63234d3a92340bbdb727f,SC,6,7,5,179.18,84,1
18a349e75d307f4b4cc646a691ed4216,SP,16,18,9,1238.05,13,0
1900267e848ceeba8fa32d80c1a5f5a8,SP,186,244,92,11976.319999999967,1,0
191d55f7edb8524d525ed01b20fe32e8,DF,3,3,3,747.0,13,1
1976a05ecf2996d6ffb7b5430e635fe7,SP,8,9,4,1796.1999999999998,139,1
1987cd4be10fe09ee50454f9c354d1c6,MG,13,15,7,2757.7000000000003,24,0
198c7ea11960a9844b544d9bcdca860c,MG,24,24,4,1593.7600000000002,162,1
19a7c9f66ffa6452ff4b4c0cca71da27,PR,1,1,1,279.0,123,1
19e0f40a907ec568c34bfac15de4f4a1,SP,4,4,1,178.0,105,1
1a3df491d1c4f1589fc2b934ada68bf2,SC,123,132,5,17617.599999999984,3,0
1acde099eb406aa220b1169b188b42da,SP,9,10,9,311.09999999999997,84,1
1b0b0f4f95e962d6f32fe90c759d0479,SP,1,1,1,69.9,61,1
1b1ae47a313a825a7ccceb8e2e30fa9d,PR,8,8,4,1639.2000000000003,0,0
1b4c3a6f53068f0b6944d2d005c9fc89,SC,74,78,22,9878.869999999986,9,0
1b61fb1f0f2185d89e9a126c498e9cc7,PR,1,1,1,49.7,222,1
1b7e5006cb25dd23ce8686691013b121,SP,6,6,4,927.87,6,0
1b8356dabde1d35e17cef975c3f82730,SP,55,60,14,3366.399999999995,78,1
1b8b75e227c9a9c100d0c210fb6176ce,SP,12,12,9,1094.9,62,1
1b938a7ec6ac5061a66a3766e0e75f90,SP,18,20,6,1781.000000000001,6,0
1bb2bdb95f4841f1bba2c0d2cd83d3c9,SP,26,27,11,2122.38,0,0
1bb3812d5f0747a3ab7348f199001a10,SP,5,5,4,543.5,21,0
1bc2e21de46adfea6b98cc96b00f3b40,SC,3,5,2,1039.95,258,1
1c129092bf23f28a5930387c980c0dfc,SP,121,132,8,5696.519999999993,0,0
1c5e4e49b9079480255b49d50aac1aa9,SP,8,8,5,7093.01,56,0
1c68394e931a64f90ea236c5ea590300,PR,56,70,26,13449.199999999995,2,0
1c83418358f249c9d6affa52d579db0e,SP,1,1,1,24.9,277,1
1ca7077d890b907f89be8c954a02686a,SP,87,101,11,11322.859999999997,8,0
1caf283236cd69af44cbc09a0a1e7d32,RJ,22,25,16,575.79,29,0
1cbd50a8c52e6cf8e315c5709fab386f,PR,1,1,1,68.99,7,0
1ce3ae5a399804d1a87e706f8a813c3e,SC,18,22,13,1248.7000000000003,5,0
1d0997ff06b524ce9289ffd75114ecd3,PE,2,2,2,1748.0,68,1
1d139e3a3b14025640d8df1b230aace0,SP,2,2,2,36.49,73,1
1d2732ef8321502ee8488e8bed1ab8cd,RJ,2,2,2,827.0,254,0
1d29dfba02015238dfbe2449a5eaa361,MG,6,6,3,300.4,12,0
1d4587203296c8f4ad134dc286fa6db0,SP,4,4,4,207.60000000000002,1,0
1d503743d2526f03f0c2c89540ee008c,SP,1,1,1,21.99,6,0
1d8dbc4f32378d715c717c1c1fc57bae,PR,68,74,24,8600.399999999994,6,0
1da366cade6d8276e7d8beea7af5d4bf,MG,42,48,14,6348.589999999997,41,1
