sigla_uf	nome_municipio	ano	ibc	cobertura_pop_4g5g	fibra	adensamento_estacoes	densidade_smp	hhi_smp	densidade_scm	hhi_scm
CE	Marco	2023	52.88	86.59	100	7.26	59.00	46	14.67	8
CE	Uruburetama	2023	57.70	98.14	100	7.22	56.15	73	2.82	75
RN	Lucrécia	2023	41.36	99.57	0	11.93	73.37	13	22.95	63
RN	Serrinha	2023	29.42	70.79	0	9.71	40.35	47	12.16	55
PB	Igaracy	2023	53.24	85.75	100	11.06	59.21	65	4.56	20
PB	Caraúbas	2023	24.46	62.61	0	15.84	30.61	14	0.44	84
PB	Coxixola	2023	48.14	74.42	100	22.83	31.09	29	0.15	81
PB	Cuitegi	2023	57.87	100.00	100	12.38	67.18	65	2.01	37
PB	Ibiara	2023	48.23	87.10	100	14.79	28.83	23	0.19	77
PB	Pirpirituba	2023	52.30	99.89	100	4.46	47.97	4	10.27	57
PE	Carnaubeira da Penha	2023	44.56	46.83	100	8.51	28.02	85	6.59	63
PE	Maraial	2023	51.88	91.28	100	8.90	47.96	40	2.77	53
PE	Paulista	2023	66.81	100.00	100	6.09	86.01	88	10.11	91
AL	Capela	2023	51.29	79.34	100	6.93	51.39	39	0.25	79
AL	Jacaré dos Homens	2023	30.51	81.33	0	8.19	46.49	43	1.23	66
SE	Japoatã	2023	53.62	82.71	100	7.77	64.20	17	6.27	69
BA	Barra do Choça	2023	48.38	63.76	100	5.70	54.37	61	1.21	43
BA	Firmino Alves	2023	51.62	61.91	100	25.64	67.57	8	0.32	73
BA	Ilhéus	2023	68.18	92.03	100	10.14	90.73	90	19.58	81
BA	Maraú	2023	31.97	48.73	0	8.47	72.37	56	2.11	85
BA	Nilo Peçanha	2023	42.67	58.11	100	8.64	35.89	25	3.25	46
BA	Wanderley	2023	45.54	52.51	100	4.82	47.60	35	0.24	80
MG	Abadia dos Dourados	2023	37.63	70.47	0	9.96	71.87	62	20.94	50
MG	Águas Vermelhas	2023	51.52	83.86	100	7.42	56.67	47	7.22	23
MG	Arantina	2023	65.10	97.59	100	21.43	77.87	58	29.22	31
MG	Cachoeira da Prata	2023	62.73	99.13	100	22.56	80.50	19	14.44	63
MG	Dores do Turvo	2023	33.55	82.26	0	12.53	57.40	67	1.99	44
MG	Florestal	2023	51.33	95.30	0	7.77	87.66	75	43.46	79
